title	score
Kimi to, Nami ni Noretara (MOVIE)	85
Hanamonogatari (TV)	85
Hyouka: Motsubeki Mono wa (OVA)	85
Meitantei Conan: Keisatsu Gakkou-hen - Wild Police Story (MANGA)	85
Shinobumonogatari (NOVEL)	85
Seishun Buta Yarou wa Mayoeru Singer no Yume wo Minai (NOVEL)	85
Songzang Xiezouqu (MANGA)	85
Nijiiro Days (MANGA)	85
Tari Tari (MANGA)	85
Aikagi-kun to Shiawase Gohan (MANGA)	85
Urushi Uruhashi (MANGA)	85
Kekkon Suru tte, Hontou desu ka: 365 Days To The Wedding (MANGA)	85
Chizu ni Nai Basho (MANGA)	85
Boku ga Watashi ni Naru Tame ni (MANGA)	85
Hatsukoi Losstime (MANGA)	85
100-nichi Go ni Shinu (❌) Nezumi (MANGA)	85
Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru (NOVEL)	85
Fruits Basket: prelude - Special Comics (MANGA)	85
Tumyeonghan Donggeo (MANGA)	85
Takako-san (MANGA)	85
Mairimashita, Senpai (MANGA)	85
Hosaka Sensei no Ai no Muchi (MANGA)	85
Sojou no Koi wa Nido Haneru (MANGA)	85
AV Joyuu to AV Danyuu ga Doukyo suru Hanashi. (MANGA)	85
Murasakiiro no Qualia (NOVEL)	85
Telework Yotabanashi (MANGA)	85
Imomushi Shoujo to Komyushou Danshi (MANGA)	85
Aiura (MANGA)	85
Shunkan Gradation (MANGA)	85
Kowareta Bokura no Senryaku Renai (ONE_SHOT)	85
Hello, Hello and Hello: Piece of Mind (NOVEL)	85
Henshin no News (MANGA)	85
Ashizuri Suizokukan (MANGA)	85
Half & Half (MANGA)	85
Tsurezure Biyori (MANGA)	85
Koushin Koinu ni Koibumi wo (MANGA)	85
Mizutama Honey Boy (MANGA)	85
Food Court de, Mata Ashita. (MANGA)	85
Wazamonogatari (NOVEL)	85
Okitegami Kyouko no Kakeibo (NOVEL)	85
Okitegami Kyouko no Taishokunegai (NOVEL)	85
Umiiro March (MANGA)	85
Kimi ga Denwa wo Kakete Ita Basho (NOVEL)	85
Itai no Itai no, Tonde Yuke (NOVEL)	85
Okitegami Kyouko no Bibouroku (NOVEL)	85
Boku to Kimi no Taisetsu na Hanashi (MANGA)	85
Jin (MANGA)	85
Shimanami Tasogare (MANGA)	85
Haji-Otsu. (MANGA)	85
Nande Ikiteru ka Wakaranai Hito: Izumi Sumi 25-sai (MANGA)	85
Hoshi no Koe (MANGA)	85
Amaama to Inazuma (MANGA)	85
Toumei Ningen no Hone (MANGA)	85
Sabishisugite Rezu Fuzoku ni Ikimashita Report (MANGA)	85
Taishou Otome Otogibanashi (MANGA)	85
Tamen De Gushi (MANGA)	85
Tsurezure Children (MANGA)	85
Kobayashi-san Chi no Maidragon S (TV)	82
Turkey! (TV)	82
Natsume Yuujinchou Shichi Special (SPECIAL)	82
